Project_ID,Project_Name,Start_Date,End_Date,Required_Hours
P001,Reporting Automation,13-04-2025,26-09-2025,1551
,Cloud Transformation,,05-05-2025,1104
P003,Data Warehouse Build,08-11-2025,27-01-2026,349
P004,Network Modernization,23-07-2025,01-09-2025,1082
P005,Reporting Automation,07-11-2025,12-01-2026,1708
P006,Data Warehouse Build,03-05-2025,24-06-2025,1182
P007,CRM Integration,24-07-2025,09-09-2025,883
P008,,11-10-2025,15-11-2025,332
P009,Customer Migration,24-05-2025,13-11-2025,1230
P010,Customer Migration,05-08-2025,09-11-2025,
,ERP Upgrade,03-06-2025,25-07-2025,1203
P012,ERP Upgrade,12-11-2025,15-02-2026,1665
P013,Data Warehouse Build,20-09-2025,03-02-2026,1410
P014,CRM Integration,22-06-2025,27-11-2025,1829
P015,CRM Integration,30-08-2025,20-02-2026,410
P016,Analytics Deployment,20-11-2025,21-03-2026,1235
P017,Reporting Automation,17-09-2025,15-12-2025,1027
P018,Customer Migration,19-01-2025,04-06-2025,
P019,Analytics Deployment,26-05-2025,02-11-2025,1227
P020,Cloud Transformation,08-11-2025,30-12-2025,700
P021,Cloud Transformation,04-06-2025,24-09-2025,970
P022,ERP Upgrade,01-04-2025,24-08-2025,1806
P023,,26-10-2025,21-04-2026,1349
P024,Reporting Automation,29-08-2025,19-01-2026,1062
,Network Modernization,29-04-2025,04-06-2025,1362
P026,Customer Migration,12-07-2025,19-09-2025,1440
P027,CRM Integration,13-06-2025,13-11-2025,726
P028,Analytics Deployment,16-05-2025,28-09-2025,1303
P029,Network Modernization,03-05-2025,27-08-2025,430
P030,Reporting Automation,30-12-2025,16-04-2026,1537
P031,CRM Integration,04-02-2025,07-06-2025,618
P032,,06-01-2025,01-05-2025,581
P033,Network Modernization,11-04-2025,25-08-2025,729
P034,Analytics Deployment,01-06-2025,17-11-2025,1014
P035,Network Modernization,03-12-2025,16-02-2026,1659
P036,CRM Integration,15-06-2025,17-07-2025,1022
P037,Data Warehouse Build,27-02-2025,26-04-2025,1835
P038,Analytics Deployment,22-11-2025,28-02-2026,786
P039,Customer Migration,15-12-2025,15-03-2026,995
P040,Data Warehouse Build,27-09-2025,24-01-2026,771
P041,ERP Upgrade,25-02-2025,01-04-2025,465
P042,Reporting Automation,13-07-2025,18-11-2025,
P043,ERP Upgrade,31-07-2025,02-12-2025,1549
P044,Reporting Automation,01-05-2025,14-08-2025,1719
P045,,21-11-2025,10-04-2026,398
P046,Analytics Deployment,28-03-2025,11-09-2025,488
P047,ERP Upgrade,29-03-2025,23-08-2025,1889
P048,Cloud Transformation,03-02-2026,10-11-2025,438
P049,Data Warehouse Build,02-08-2025,04-01-2026,1964
P050,Data Warehouse Build,21-05-2025,21-09-2025,481
P051,ERP Upgrade,04-01-2026,10-05-2025,384
P052,Network Modernization,29-11-2025,20-04-2026,815
P053,CRM Integration,21-02-2025,13-04-2025,1601
P054,Network Modernization,10-06-2025,23-11-2025,1779
P055,Network Modernization,08-05-2025,13-06-2025,751
P056,CRM Integration,09-04-2025,15-05-2025,1633
P057,Network Modernization,02-03-2025,26-05-2025,843
P058,Network Modernization,21-09-2025,12-04-2026,585
P059,Network Modernization,12-01-2025,27-02-2025,568
P060,CRM Integration,21-02-2025,05-04-2025,1335
P061,CRM Integration,03-01-2025,16-03-2025,1144
P062,Network Modernization,31-01-2025,23-04-2025,367
P063,Network Modernization,16-11-2025,16-04-2026,1866
P064,ERP Upgrade,25-05-2025,03-11-2025,580
P065,Network Modernization,08-03-2025,21-06-2025,605
P066,Analytics Deployment,28-02-2025,05-08-2025,1867
P067,Data Warehouse Build,27-12-2025,18-03-2026,1298
P068,Customer Migration,28-10-2025,08-04-2026,1945
P050,Data Warehouse Build,21-05-2025,21-09-2025,481
P051,,04-01-2026,10-05-2025,384
,Network Modernization,29-11-2025,03-02-2026,815
P053,CRM Integration,21-02-2025,13-04-2025,1601
